when	phase	unit	decision / hypothesis	evidence	verdict
2026-08-23	A	frame	Two reported bugs + full sweep. Predicate: see docs/run-trail note below.	this file	OPEN
2026-08-23	C	B1-repro	H: runner client state survives same-route soft nav, so "Again" re-shows the finished screen	/drill/vocab seed=1 -> router.push seed=999 kept seed=1 option order; hard reload of seed=999 changed it	VERIFIED
2026-08-23	C	B2-repro	H: a TTS failure resolves the playback promise, so playFrom() races through every paragraph and the UI silently resets	rewrote audio src to /api/tts-BROKEN on /learn/.../read listen mode: 2 paragraphs "played" in 141ms, both NotSupportedError, UI back to "Tap play"	VERIFIED
2026-08-23	C	data	profile.reading.level stuck at 1 = 450L; app itself prints "Grade 4 reading starts at 740L"	live Atlas read + browser text on the mode screen	VERIFIED
2026-08-23	B	plan	Units: U1 audio-never-silent, U2 again-works, U3 honest-time, U4 honest-save, U5 grading, U6 ladders, U7 games/chat, U8 sw+auth	this file	OPEN
2026-08-23	C	U1	voice.ts promise now resolves "ended"|"failed"; pause-during-load no longer reads as failure; ReadingRunner stops+offers Try again; EchoReader+AudioButton surface it	lib/voice.ts, ReadingRunner, EchoReader, AudioButton	DONE
2026-08-23	C	U2	remount key from the URL param that "Again" changes, on all 4 runner pages	drill/vocab, drill/math, learn/[listId]/[step], learn/today/[beat]	DONE
2026-08-23	C	U3	lib/time-on-task.ts stopwatch clamps any gap over 120s; 5 tests pass	npx tsx --test lib/__tests__/time-on-task.test.ts	PARTIAL
2026-08-23	C	audit	dev StrictMode double-play is NOT a production bug — prod build shows one clean pause/load/play per item	localhost:3100 instrumented HTMLMediaElement	VERIFIED
2026-08-23	C	U4	session apply is now idempotent: the id is reserved atomically BEFORE any write; runners stop claiming "saved on this phone" when the server dropped it; offline XP is estimated	app/api/sessions/complete/route.ts, lib/offline-queue.ts saveNote, 6 runners	DONE
2026-08-23	C	U5	spellingKey ignores sentence punctuation and hyphens; WriteItem judges with the same key it is graded by	lib/items.ts, WriteItem.tsx, 6 new assertions in lesson-builder.test.ts	DONE
2026-08-23	C	U6	level windows no longer cascade: reading counts only readings at the current level, math clears recentPcts on a change; unit-done needs a pass; reading marks 80/50 to fit 3-5 question scores	lib/rewards.ts, MathProgress.ts, complete route; 4 new tests	DONE
2026-08-23	C	audit-reject	agent claim "crossword layout gives across+down the same position number, HIGH" — real per library source (assignPositions keys by start cell) but 0/52 random layouts produced one. Fixed anyway as a latent correctness bug, not the reported symptom.	node _cw.mjs / _cw2.mjs over 52 layouts; layout_generator.js:81-96	PARTIAL
2026-08-23	C	U8	sw precaches each shell page's /_next/static chunks (offline tabs used to render a dead un-hydrated shell); VERSION -> quest-v3; wrong-PIN throttle; zod trims before min(1); chat never speaks an internal error	public/sw.js, app/api/auth/route.ts, 3 api routes, app/api/chat/route.ts	DONE
2026-08-23	C	U7	crossword: word identity split from the shared clue number, and every fully-filled word is now validated (a word completed by intersections used to lock the puzzle); scramble remounts when the server sends a new pick; chat surfaces a dropped upload and a failed read-aloud, confirms before wiping the chat, and its replay control is a 44px target	InteractiveCrossword.tsx, lists/[id]/scramble/page.tsx, app/chat/page.tsx	DONE
2026-08-23	E	verify	Again: soft nav to seed=999 now yields seed 999's option order (was seed 1's)	localhost:3000 router.push + innerText compare	VERIFIED
2026-08-23	E	verify	Broken TTS: reading stops at part 1 with "The sound did not come through for part 1 ... tap Try again" (was: whole passage raced through in 141ms, UI silently idle)	localhost:3000 src rewritten to /api/tts-BROKEN	VERIFIED
2026-08-23	E	verify	Pause during the TTS load window reports "Paused in part 1", resumes, and reaches "Part 2 of 2" (was: skipped the part and played the next one while showing Paused)	localhost:3000 timed pause 150ms after play	VERIFIED
2026-08-23	E	verify	Crossword solved end-to-end from a scripted fill: "10 of 10 solved", puzzle done, 0 blanks	localhost:3000 backtracking solver typed into every cell	VERIFIED
2026-08-23	E	verify	Spelling test accepts "external." -> "Nice work! +10 XP", and no red miss letters render behind it	localhost:3100 production build	VERIFIED
2026-08-23	E	gates	183 tests pass, tsc clean, eslint 5 errors = unchanged pre-existing baseline, next build compiles	npm test / npx tsc --noEmit / npx eslint lib components app / npm run build	VERIFIED
